Name,Quantity,Part Link,Description,Price (USD)
Raspberry Pi 4/5,1,already owned,brains of the handheld,$55
RP2040-Zero,1,https://www.aliexpress.com/item/1005007650325892.html,MCU for handling joystick and button input,$5.15
Analog PS2 style Joystick,2,https://www.aliexpress.com/item/1005007561985496.html,Analog joystick for input,$1.69
Soft Tactile Buttons,15,https://www.aliexpress.com/item/32963848918.html,button for input source,$1.81
7" Touchscreen Display with Speakers,1,https://www.amazon.ca/ELECROW-Raspberry-Touchscreen-1024x600-HDMI-Compatible/dp/B08FMNDDSL/,touchscreen display with speakers,$59.57
3D Printed Case and Buttons,1,already owned,custom case and buttons for the handheld,$4
Wires,a lot,already owned,for connecting components,$1
10000mAh Power Bank,1,https://www.amazon.ca/INIU-Portable-Slimmest-10000mAh-Charging/dp/B0DCHVGS2S/,Power bank for powering the device (device is cheaper than aliexpress),$23.38
M3x6 Bolts,14,already owned,for securing components,$0.50
M3x5x4 Heatset Inserts,14,already owned,for securing components,$0.50 
